brand,menu,category,calories,protein,fat,carbs,sodium,allergens,source_url,source_date,verified,allergen_known,allergy_source_url,image_url,description,price,price_note,media_source_url,media_checked_at
맥도날드,에그 맥머핀,단품,306.0,19.0,5.0,3.0,712.0,계란|우유|대두|밀|돼지고기,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,https://www.mcdonalds.co.kr/uploadFolder/product/prov_201901290308474630.png,"캐나디안 스타일 베이컨과 계란의 클래식한 만남, 맥도날드의 아침을 탄생하게 한 바로 그 메뉴.",,매장별 확인,https://www.mcdonalds.co.kr/kor/menu/burger,2026-08-11
맥도날드,베이컨 에그 맥머핀,단품,327.0,19.0,6.0,3.0,687.0,계란|우유|대두|밀|돼지고기,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,https://www.mcdonalds.co.kr/uploadFolder/product/prov_201901290309065310.png,"부드러운 계란, 바삭바삭한 베이컨과 고소한 치즈가 갓 구워진 따뜻한 맥머핀",,매장별 확인,https://www.mcdonalds.co.kr/kor/menu/burger,2026-08-11
맥도날드,베이컨 토마토 에그 머핀,단품,341.0,17.0,3.6,5.0,666.0,계란|대두|밀|돼지고기|토마토,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,https://www.mcdonalds.co.kr/upload/product/pcfile/1742427076140.png,100% 아라비카로 내린 드립 커피와 갓 구워내 따뜻하고 신선한 베이컨 토마토 에그 머핀 세트,,매장별 확인,https://www.mcdonalds.co.kr/kor/menu/burger,2026-08-11
맥도날드,소시지 에그 맥머핀,단품,432.0,23.0,9.0,3.0,835.0,계란|우유|대두|밀|돼지고기,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,https://www.mcdonalds.co.kr/uploadFolder/product/prov_201903190244458360.png,"잉글리쉬 머핀 위에 먹음직스럽게 올려진 치즈와 계란, 그리고 촉촉한 소시지 패티의 맛있는 조화!",,매장별 확인,https://www.mcdonalds.co.kr/kor/menu/burger,2026-08-11
맥도날드,디럭스 브렉퍼스트,단품,768.0,29.0,9.0,11.0,1365.0,계란|우유|대두|밀|돼지고기,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,https://www.mcdonalds.co.kr/upload/product/pcfile/1677678243866.png,100% 아라비카로 내린 드립 커피와 함께 즐기는 디럭스 브런치 세트!,,매장별 확인,https://www.mcdonalds.co.kr/kor/menu/burger,2026-08-11
맥도날드,핫케익 2조각,단품,223.0,6.0,1.1,8.0,342.0,계란|우유|대두|밀,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,https://www.mcdonalds.co.kr/uploadFolder/product/prov_201902111059484930.png,부드럽게 구워낸 핫케이크에 향긋한 버터와 달콤한 시럽을 살며시 부어 오늘 하루도 기분 좋게 시작하세요.,,매장별 확인,https://www.mcdonalds.co.kr/kor/menu/burger,2026-08-11
맥도날드,핫케익 3조각,단품,335.0,9.0,1.7,12.0,513.0,계란|우유|대두|밀,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,https://www.mcdonalds.co.kr/upload/product/pcfile/1677678180571.png,100% 아라비카로 내린 드립 커피와 함께 즐기는 핫케익 3조각 세트!,,매장별 확인,https://www.mcdonalds.co.kr/kor/menu/burger,2026-08-11
맥도날드,치킨 치즈 머핀,단품,498.0,23.0,6.0,3.0,1277.0,계란|우유|대두|밀|닭고기,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,https://www.mcdonalds.co.kr/upload/product/pcfile/1742427704912.png,100% 아라비카로 내린 드립 커피와 바삭한 치킨 패티와 고소한 치즈로 아침에도 든든하게!,,매장별 확인,https://www.mcdonalds.co.kr/kor/menu/burger,2026-08-11
맥도날드,그릴드 치킨 모닝 버거,단품,358.0,19.0,4.4,9.0,913.0,계란|우유|대두|밀|쇠고기|닭고기|토마토,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,https://www.mcdonalds.co.kr/upload/2026/06/Corp_PC_VIEW_772x530_그릴드치킨모닝버거_EVB_1.png,100% 국내산 닭가슴살을 구워 담백한 그릴드 치킨 패티에 홀그레인 타르타르 소스를 더하고 부드러운 소프트 번으로 완성한 건강한 맥모닝!,,매장별 확인,https://www.mcdonalds.co.kr/kor/menu/burger,2026-08-11
맥도날드,더블 그릴드 치킨 모닝 버거,단품,414.0,30.0,4.6,9.0,1262.0,계란|우유|대두|밀|쇠고기|닭고기|토마토,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,https://www.mcdonalds.co.kr/upload/2026/06/Corp_PC_VIEW_772x530_더블그릴드치킨모닝버거_EVB_1.png,100% 국내산 닭가슴살을 구워 담백한 그릴드 치킨 패티 2장에 홀그레인 타르타르 소스를 더하고 부드러운 소프트 번으로 완성한 건강한 맥모닝!,,매장별 확인,https://www.mcdonalds.co.kr/kor/menu/burger,2026-08-11
맥도날드,진주 고추 크림치즈 머핀,단품,523.0,23.0,7.0,5.0,1394.0,계란|우유|대두|밀|닭고기|토마토,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,https://www.mcdonalds.co.kr/upload/2026/07/Corp_PC_VIEW_772x530_고추크림치즈머핀_EVB.png,빠삭한 맥치킨 패티에 진주 고추 크림치즈를 더해 완성한 매콤 든든한 아침!,,매장별 확인,https://www.mcdonalds.co.kr/kor/menu/burger,2026-08-11
맥도날드,해쉬 브라운,스낵 & 사이드,162.0,2.0,0.8,0.0,345.0,대두,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,https://www.mcdonalds.co.kr/upload/product/pcfile/1742426888535.png,"씹으면 바삭바삭, 속은 부드러운 감자의 고소함.",,매장별 확인,https://www.mcdonalds.co.kr/kor/menu/burger,2026-08-11
맥도날드,빅맥®,버거,582.0,27.0,11.0,8.0,902.0,계란|우유|대두|밀|쇠고기,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,https://www.mcdonalds.co.kr/upload/2025/08/빅맥®_세트.png,"100% 순 쇠고기 패티 두 장에 빅맥 ® 만의 특별한 소스. 입안에서 살살 녹는 치즈와 신선한 양상추, 양파, 그리고 피클까지. 50년 넘게 전 세계인의 입맛을 사로 잡은 버거의 대명사.",,매장별 확인,https://www.mcdonalds.co.kr/kor/menu/burger,2026-08-11
맥도날드,맥스파이시® 상하이버거,버거,528.0,22.0,3.2,9.0,952.0,계란|대두|밀|닭고기|토마토,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,https://www.mcdonalds.co.kr/upload/product/pcfile/1723562660091.png,쌀가루가 더해져 더 바삭해진 100% 닭가슴살 패티에 아삭아삭한 양상추와 신선한 토마토까지! 더 바삭하고 맛있어진 NEW 맥스파이시 상하이 버거로 입맛도 기분도 화끈하게!,,매장별 확인,https://www.mcdonalds.co.kr/kor/menu/burger,2026-08-11
맥도날드,1955® 버거,버거,572.0,29.0,10.0,15.0,930.0,계란|우유|대두|밀|돼지고기|쇠고기|토마토,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,https://www.mcdonalds.co.kr/upload/product/pcfile/1723564262197.png,"113g 두툼한 순 쇠고기 패티, 특별한 1955 소스에 깊은 풍미의 그릴드 어니언까지! 맥도날드가 처음 생긴 1955년의 맛을 담은 영원한 오리지널 1955 버거",,매장별 확인,https://www.mcdonalds.co.kr/kor/menu/burger,2026-08-11
맥도날드,맥치킨® 모짜렐라,버거,735.0,29.0,7.0,18.0,1807.0,계란|우유|대두|밀|닭고기|토마토,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,https://www.mcdonalds.co.kr/upload/product/pcfile/1723563301214.png,든든한 맥치킨에 골든 모짜렐라 치즈 스틱 2개와매콤한 아라비아따 소스를 더해강렬하게 재탄생한 맥치킨 모짜렐라!,,매장별 확인,https://www.mcdonalds.co.kr/kor/menu/burger,2026-08-11
맥도날드,맥치킨®,버거,515.0,19.0,3.6,7.0,1148.0,계란|대두|밀|닭고기,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,https://www.mcdonalds.co.kr/upload/product/pcfile/1723563415066.png,"바삭한 치킨 패티, 고소한 화이트 마요 소스와아삭한 양상추가 함께!더 업그레이드된 맛으로 돌아온 맥치킨",,매장별 확인,https://www.mcdonalds.co.kr/kor/menu/burger,2026-08-11
맥도날드,더블 불고기버거,버거,635.0,26.0,13.0,15.0,997.0,계란|우유|대두|밀|돼지고기,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,https://www.mcdonalds.co.kr/upload/product/pcfile/1723563975095.png,"진한 불고기 소스의 패티가 두 장! 여기에 고소한 치즈와 마요네즈, 신선한 양상추를 곁들인 깊고 풍부한 맛.",,매장별 확인,https://www.mcdonalds.co.kr/kor/menu/burger,2026-08-11
맥도날드,불고기버거,버거,408.0,14.0,6.0,14.0,670.0,계란|대두|밀|돼지고기,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,https://www.mcdonalds.co.kr/upload/2026/07/불고기.png,"한국인의 입맛에 딱 맞는 불고기 소스에 잘 재운 패티와 고소한 마요네즈, 신선한 양상추의 맛있는 조합.",,매장별 확인,https://www.mcdonalds.co.kr/kor/menu/burger,2026-08-11
맥도날드,슈슈버거,버거,431.0,13.0,1.9,13.0,758.0,계란|우유|대두|밀|새우|쇠고기|토마토,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,https://www.mcdonalds.co.kr/upload/product/pcfile/1723563590522.png,탱~글한 통새우살 가득~ 슈슈 버거,,매장별 확인,https://www.mcdonalds.co.kr/kor/menu/burger,2026-08-11
맥도날드,슈비버거,버거,573.0,22.0,6.0,15.0,951.0,계란|우유|대두|밀|새우|쇠고기|토마토,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,https://www.mcdonalds.co.kr/upload/product/pcfile/1723564188909.png,탱~글한 통새우살에 비프 패티를 더해 푸짐하게~ 슈비 버거,,매장별 확인,https://www.mcdonalds.co.kr/kor/menu/burger,2026-08-11
맥도날드,더블 쿼터파운더® 치즈,버거,770.0,50.0,20.0,10.0,1151.0,우유|대두|밀|쇠고기|토마토,https://www.mcdonalds.co.kr/kor/menu/information/nutrition,2026.08.11,True,True,,https://www.mcdonalds.co.kr/upload/product/pcfile/1723563759418.png,"좋아하는건 더 많이 즐기시라고, 두 배 이상 커진 1/4 파운드 비프 패티가 두 장 (226그램)! 육즙이 풍부한 고기 맛을 그대로 살린 100% 순 쇠고기 패티 두 장과 치즈 두 장이 입안 가득 완벽하게 조화되는 놀라운 맛",,매장별 확인,https://www.mcdonalds.co.kr/kor/menu/burger,2026-08-11
